ticker,cur_mkt_cap,sales_rev_turn,is_comp_sales,is_cogs_to_fe_and_pp_and_g,gross_profit,is_tot_oper_exp,is_oper_inc,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,ebitda,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,earn_for_common,is_comp_net_income_gaap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,cf_cash_from_oper,capital_expend,cf_free_cash_flow,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,estimate_comparable_fcf,bs_cash_near_cash_item,cb_cf_net_cash_investing_act,cb_cf_net_cash_investing_act,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
BRO UN Equity,15970.9091,3410.5,3410.5,,,2587.9,934.6,905.8,112,175.383,1162.494,1103.1,112,0.4,0.4,822.6,194.3,623.9,628.3,590.7,0,4346,914.426,-45.028,869.398,4850.8,13658.3,4238.6,9347.7,4310.6,-2102.9,1613.439,869.398,579.5,-2102.9,-2102.9,0,0,8656.6
BSX UN Equity,60257.3352,12567,12567,3917,8650,7223,1427,3228,561,1132,2559,,493,7,35,2838,214,596,611,338,0,8934,1197,-642,555,5144,31947,3549,14307,17640,-2289,-571,555,338,-2289,-2289,0,0,26574
BWA UN Equity,9108.82226,15348,15348,12455,2893,,1191,1474,37,730,1921,1969,63,3,14,1188.15,253,818,818,1322,262,4136.000001,1221,-700,521,6547,16077,3816,9040,7037,-843,-647,537,1241,-843,-843,0,262,11173
BXP UN Equity,11225.20502,3049.82,3049.82,,,,,1050.67,,728.966,,1779.636,420.547,,,,,911.55,911.55,,2208.776,13345.591,,,,,22365.258,,14322.462,,,,,375.774,,,0,2208.776,
C UN Equity,89269.5488,89660,74349,,,51839,19581,,,7118,42010,,,58321,0,19581,3773,14374,15505,648821,19552,718706,57079,-7786,49293,,2381064,,2181947,199117,-151727,84640,49293,26502,-151727,-151727,18995,557,917823
CAG UN Equity,17130.96971,11786.9,11786.9,8901.2,2885.7,,961.4,1679.9,325.5,371.9,1333.3,2331.2,400.5,17.7,-57.3,1354.6,235.2,575.3,575.7,67.4,72.4,9042.2,1301.2,-434.9,866.3,3233.8,22219.5,4160.3,13642.8,8576.7,-403.4,-898.4,866.3,67.4,-403.4,-403.4,0,72.4,17618.9
CAH UN Equity,21023.15025,186999,186999,180482,6517,,-874,1885,154,695,-179,2490,,,20,1880,65,-1094,-1094,3492,1,5267,3791,-390,3401,32696,43387,31559,45167,-1780,-365,-2397,3401,3492,-365,-365,0,1,3487
CARR UN Equity,34663.04043,20449,20449,14866,5583,,4275,2885,-45,344,4619,3229,298,65,-8,2578,682,3588,3588,2985,311,9403,1533,-351,1182,9740,25350,6013,17887,7463,1779,-3097,2087,2985,1779,1779,0,311,16866
CAT UN Equity,119616.0934,56628,53800,40219,16409,48793,7835,7891,-1380,2247,10082,11220,438,114,-1567,9228,1852,7371,7371,6346,-25917,36525,6439,-2676,3763,42577,80907,30202,65285,15622,-2690,-6843,3763,6346,-2690,-2690,0,31,52147
CB UN Equity,87978.20709,42223,42752.0001,,,,8001,,,282,,,542,,0,6314,1317,6142,5650,2128,0,16313,11192,0,11192,,198111,,150472,47639,-8110,-2614,11192,2128,-8110,-8110,0,0,63952
