indx_members,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act
CINF UW,16988.4803,1083,0,887,6766,#VALUE!,#VALUE!,-29,1884,-15,1869,-80,#VALUE!,28199,#VALUE!,18768,9431,-812,-1074,6766,1869,1083,#VALUE!,6900,#VALUE!,#VALUE!,105,#VALUE!,54,#VALUE!,0,-134,-105,-29,-812,-1074
CL UN,63835.42233,1146,431,8248,17741,10233,3608,1928,2989,-668,2321,3056,5278,16288,4492,15235,1053,-1558,-1451,17741,2321,938,7508,#VALUE!,3676,204,552,3600,#VALUE!,#VALUE!,83,2832,740,1928,-1558,-1392
CLX UN,18570.64512,278,170,3209,7041,2501,928,405,923,-245,678,703,1763,6153,2010,5657,496,-218,-639,7041,656,278,4540,#VALUE!,721,165,225,898,103,4,66,538,123,407.261,-218,-632
CMA UN,9406.312497,5970,400,3524,3349,#VALUE!,#VALUE!,1001,470,-78,392,1319,#VALUE!,84143,#VALUE!,79074,5069,-9975,-8114,3264,392,1735,#VALUE!,#VALUE!,#VALUE!,#VALUE!,94,#VALUE!,#VALUE!,1903,0,1319,290,1008,-9975,-8114
CMCSA UW,150973.4237,5695,1046,97623,121211,82925,28264,5405,28219,-10090,18129,14333,23416,254308,27999,172966,81342,-15198,-19149,121211,15100,5695,38286,106878,22906,4833,13931,36870,4041,0,-99,18073,4468,5404,-15198,-18971
CME UW,62903.85916,2221.4,0,3950.3,4958.9,#VALUE!,3392.4,2669.8,2742.8,-92.6,2650.2,2979.3,143252.9,178431.5,140572.7,150180.7,28250.8,-396.5,51514.6,4958.9,2650.2,2130.1,#VALUE!,1979.6,3065.9,-483,366.5,3265,164.7,#VALUE!,795.1,3520.9,784,2678.3,-396.5,51514.6
CMG UN,41401.75825,783.901,0,3729.168,8414.686,1935.595,1301.444,808.849,1360.026,-457.424,902.602,1022.368,1077.432,6817.437,817.857,4490.056,2327.381,-805.234,-906.195,8414.686,902.602,366.623,6479.091,7392.318,1054.058,-23.334,279.076,1376.762,#VALUE!,#VALUE!,-23.334,1045.702,236.853,808.849,-805.234,-904.774
CMI UN,35310.61417,2965,1230,8588,26154,6217,3331,1914,1877,-825,1052,2622,14398,29769,10530,20159,9610,-4091,2125,26154,1052,2499,19937,#VALUE!,2613,67,709,3399,138,36,-5,2555,616,1914,-4091,1963
CMS UN,17464.43836,168,788,13755,8351,4349,2269,1296,1003,-2372,-1369,1157,3026,30372,2488,22868,7504,-1581,537,8351,-1369,168,4002,7194,1157,320,1112,2269,506,4,-175,837,77,1296,-1581,537
CNC UN,47209.07216,17178,222,21564,141554,25703,3945,2014,8512,-1019,7493,2203,33275,81172,31330,55572,25600,-3999,-2740,141554,7493,14987,115851,139351,4250,-412,1556,6311,653,0,-26,4643,601,2014,-3999,-2700
CNP UN,19119.00933,566,790,16110,8924,6161,2850,1527,2563,-4095,-1532,1548,4083,36719,4611,26728,9991,24,-1948,8924,-1532,114,2763,7376,1367,387,1302,2669,553,#VALUE!,-166,1113,334,1540,24,-1948
COF UN,38761.49115,24892,4845,54607,35871,#VALUE!,16518,8179,10314,-838,9476,10755,#VALUE!,444232,#VALUE!,393371,50861,-34746,22865,33328,9476,3716,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3220,#VALUE!,#VALUE!,27206,0,10755,2201,8179,-34746,22865
COO UN,15257.28522,246.3,0.2,3133,3219.5,2104.9,867.2,430.6,736.2,-212.1,524.1,532.7,1597.7,11552.1,1375.7,4469,7083.1,-1797.5,1194.9,3219.5,524.1,246.3,1114.6,#VALUE!,650.3,8.2,334.5,#VALUE!,39.5,0,-45.8,644.1,93.9,430.6,-1797.5,1204
COP UN,161802.3355,10422,0,16961,75056,26213,32929,18058,27590,-9183,18407,25641,20453,94837,13997,45758,49079,-14402,-15059,77328,18407,8010,48843,#VALUE!,#VALUE!,-1688,7288,#VALUE!,846,102,-409,27329,9271,18058,-14402,-14576
COST UW,235421.1555,11049,5,9523,226954,27572,9990,5844,7392,-3891,3501,7793,32696,64166,31998,43519,20647,-3915,-4532,226954,3501,10203,199382,#VALUE!,7793,-47,1900,#VALUE!,158,205,0,7840,1925,5844,-3915,-4283
CPB UN,15731.32059,109,2,5049,8562,2627,1579,757,1181,-242,939,1163,1963,11892,2886,8559,3333,-230,-911,8562,939,109,5935,7399,1297,188,337,1634,189,1,0,1113,218,757,-230,-910
